location,price,bedrooms,bathrooms,size
"DHA Phase 6, DHA Defence, Karachi",140000000,5,6,4500.0
"Bahria Town - Precinct 15, Bahria Town Karachi, Karachi",14000000,3,3,1125.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",14000000,3,3,1125.0
"DHA Phase 5, DHA Defence, Karachi",165000000,6,6,4500.0
"Bahria Town Karachi, Karachi, Karachi",7900000,2,2,999.0
"Athars Amans Castle, Bahria Town Karachi, Karachi",6700000,2,2,828.0
"Theme Park Residency, Bahria Town Karachi, Karachi",8600000,2,2,1017.0
"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar, Karachi",85000000,9,6,3600.0
"Delhi Mercantile Society, Gulshan-e-Iqbal Town, Karachi",23000000,3,4,1251.0
"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi",24000000,3,3,1647.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",10300000,2,2,927.0
"Bahria Paradise, Bahria Town Karachi, Karachi",45200000,5,5,4500.0
"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Karachi",18400000,3,3,1350.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",30200000,4,4,2250.0
"Azam Basti, Jamshed Town, Karachi",6500000,3,3,747.0
"Askari 5 - Sector J, Askari 5, Karachi",68500000,5,5,3852.0
"Askari 5 - Sector J, Askari 5, Karachi",67500000,5,5,3375.0
"Bahria Town Karachi, Karachi, Karachi",67000000,5,6,4500.0
"Bahria Town Karachi, Karachi, Karachi",80000000,6,7,4860.0
"DHA Phase 7, DHA Defence, Karachi",87500000,5,5,2700.0
"DHA Phase 7 Extension, DHA Defence, Karachi",34500000,0,0,900.0
"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi",19500000,3,3,2403.0
"Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A, Karachi",44500000,6,6,2160.0
"North Nazimabad - Block L, North Nazimabad, Karachi",97500000,6,6,3744.0
"Bahria Apartments, Bahria Town Karachi, Karachi",9000000,2,2,954.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",14000000,3,3,1125.0
"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal, Karachi",22000000,4,5,2196.0
"Emaar Pearl Towers, Emaar Crescent Bay, Karachi",64000000,3,4,2448.0
"Emaar Pearl Towers, Emaar Crescent Bay, Karachi",71000000,3,4,2304.0
"Bukhari Commercial Area, DHA Phase 6, Karachi",22500000,3,3,1422.0
"Badar Commercial Area, DHA Phase 5, Karachi",15000000,3,4,1449.0
"DHA Phase 2, DHA Defence, Karachi",130000000,4,6,5400.0
"North Karachi, Karachi, Karachi",14000000,5,4,990.0
"North Karachi - Sector 11A, North Karachi, Karachi",5200000,2,2,747.0
"Askari 5 - Sector J, Askari 5, Karachi",38000000,3,3,2601.0
"Askari 5 - Sector J, Askari 5, Karachi",68000000,5,5,3375.0
"Askari 5 - Sector J, Askari 5, Karachi",71000000,5,5,3375.0
"Askari 5 - Sector J, Askari 5, Karachi",70000000,5,5,3375.0
"Askari 5 - Sector J, Askari 5, Karachi",69000000,5,5,3375.0
"Askari 5 - Sector J, Askari 5, Karachi",68500000,5,5,3375.0
"Askari 5 - Sector J, Askari 5, Karachi",38000000,3,3,2700.0
"Askari 5 - Sector J, Askari 5, Karachi",38500000,3,3,2700.0
"Askari 5 - Sector J, Askari 5, Karachi",38500000,3,5,2700.0
"DHA Phase 6, DHA Defence, Karachi",420000000,6,7,9000.0
"DHA Phase 5, DHA Defence, Karachi",90000000,5,5,4500.0
"DHA Phase 1, DHA Defence, Karachi",29000000,3,3,1800.0
"Creek Vista, DHA Phase 8, Karachi",70000000,4,5,3654.0
"Amil Colony, Karachi, Karachi",35000000,3,3,1602.0
"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal, Karachi",18000000,3,3,1404.0
"ARY Laguna, DHA City Karachi, Karachi",9550000,2,2,1026.0
"Bahria Town - Precinct 35, Bahria Sports City, Karachi",20000000,4,4,3150.0
"DHA Phase 7 Extension, DHA Defence, Karachi",37000000,3,4,900.0
"Emaar Pearl Towers, Emaar Crescent Bay, Karachi",55500000,2,3,1674.0
"Emaar Reef Towers, Emaar Crescent Bay, Karachi",68500000,3,4,2196.0
"North Karachi - Sector 11A, North Karachi, Karachi",4300000,2,2,702.0
"DHA Phase 6, DHA Defence, Karachi",76000000,4,4,4500.0
"Askari 5 - Sector J, Askari 5, Karachi",64500000,5,5,3375.0
"Old Falcon Complex (AFOHS), Malir Cantonment, Karachi",58000000,5,5,3150.0
"DOHS Phase 2, Malir Cantonment, Karachi",57500000,3,5,3150.0
"Askari 5 - Sector J, Askari 5, Karachi",39000000,3,3,2700.0
"Askari 5 - Sector F, Askari 5, Karachi",37500000,3,3,2574.0
"Gulshan-e-Maymar - Sector U, Gulshan-e-Maymar, Karachi",31500000,6,6,2160.0
"Tauheed Commercial Area, DHA Phase 5, Karachi",19000000,3,3,1998.0
"North Karachi - Sector 5-C/1, North Karachi - Sector 5-C, Karachi",9000000,4,3,720.0
"DHA Phase 5, DHA Defence, Karachi",165000000,7,9,9000.0
"DHA Phase 5, DHA Defence, Karachi",85000000,5,6,4500.0
"DHA Phase 5, DHA Defence, Karachi",12500000,3,3,900.0
"DHA Phase 8 - Zone A, DHA Phase 8, Karachi",200000000,6,6,4500.0
"DHA Phase 5, DHA Defence, Karachi",125000000,0,0,4500.0
"DHA Phase 6, DHA Defence, Karachi",300000000,7,8,9000.0
"DHA Phase 6, DHA Defence, Karachi",120000000,6,6,4500.0
"DHA Phase 6, DHA Defence, Karachi",130000000,6,7,4500.0
"Rahat Commercial Area, DHA Phase 6, Karachi",22500000,3,3,1143.0
"Federal Government Employees Housing Foundation, Scheme 33, Karachi",13000000,3,3,1404.0
"Gohar Green City, Karachi, Karachi",6800000,2,2,603.0
"DHA Phase 2 Extension, DHA Defence, Karachi",39500000,4,4,900.0
"DHA Phase 8, DHA Defence, Karachi",170000000,0,0,4500.0
"Emaar Reef Towers, Emaar Crescent Bay, Karachi",61000000,3,4,2196.0
"Emaar Coral Towers, Emaar Crescent Bay, Karachi",42500000,3,4,2502.0
"Shaheed Millat Road, Karachi, Karachi",65000000,4,4,2403.0
"Shadman Town - Sector-14/B, Shadman, Karachi",15000000,4,4,1800.0
"Shadman Town - Sector-14/B, Shadman, Karachi",46000000,6,6,2160.0
"Shadman Town - Sector-14/B, Shadman, Karachi",23000000,5,5,1080.0
"Shadman Town - Sector-14/B, Shadman, Karachi",26000000,6,6,1080.0
"DHA Phase 5, DHA Defence, Karachi",12500000,3,3,1098.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"DHA Phase 6, DHA Defence, Karachi",159000000,6,7,4500.0
"Creek Vista, DHA Phase 8, Karachi",66000000,3,4,3249.0
"Askari 5 - Sector J, Askari 5, Karachi",65000000,5,5,3375.0
"Emaar Reef Towers, Emaar Crescent Bay, Karachi",56000000,2,3,1800.0
"Emaar Pearl Towers, Emaar Crescent Bay, Karachi",57500000,2,3,1638.0
"Karachi Administration Employees - Block 8, Karachi Administration Employees Society, Karachi",17800000,3,4,1350.0
"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar, Karachi",60000000,6,6,2700.0
"Korangi Creek Cantonment, Korangi, Karachi",3800000,2,2,747.0
"DHA Phase 7, DHA Defence, Karachi",115000000,6,6,4500.0
"Pearl Villas, Surjani Town, Karachi",9100000,4,4,1080.0
"Emaar Coral Towers, Emaar Crescent Bay, Karachi",48000000,3,4,2133.0
"Emaar Coral Towers, Emaar Crescent Bay, Karachi",45000000,3,3,1926.0
"Nazimabad - Block 5C, Nazimabad, Karachi",11500000,3,3,1197.0
"DHA Phase 8, DHA Defence, Karachi",400000000,6,6,9000.0
"Shaheed Millat Road, Karachi, Karachi",53500000,4,4,2151.0
"North Nazimabad - Block C, North Nazimabad, Karachi",31000000,4,4,2691.0
"Manzoor Colony, Karachi, Karachi",5800000,2,3,999.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",16000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Askari 5 - Sector F, Askari 5, Karachi",37500000,3,3,2574.0
"Askari 5 - Sector H, Askari 5, Karachi",79000000,5,5,3852.0
"DHA Phase 6, DHA Defence, Karachi",82000000,5,6,3600.0
"DHA Phase 8, DHA Defence, Karachi",395000000,6,6,9000.0
"DHA Phase 8, DHA Defence, Karachi",130000000,5,6,4500.0
"DHA Phase 8, DHA Defence, Karachi",67500000,6,6,1350.0
"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar, Karachi",47500000,4,4,2700.0
"DHA Phase 6, DHA Defence, Karachi",14000000,3,4,1197.0
"DHA Phase 6, DHA Defence, Karachi",150000000,8,8,5400.0
"DHA Phase 8, DHA Defence, Karachi",210000000,0,0,4500.0
"Bahria Town - Precinct 4, Bahria Town Karachi, Karachi",32500000,6,7,4500.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",7700000,2,2,954.0
"Shahra-e-Faisal, Karachi, Karachi",48000000,3,3,2403.0
"Khalid Bin Walid Road, Karachi, Karachi",55000000,3,3,2196.0
"Allama Iqbal Road, PECHS, Karachi",80000000,4,4,2700.0
"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi",18500000,4,4,720.0
"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi",62500000,6,6,3600.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"DHA Phase 6, DHA Defence, Karachi",500000000,9,5,18000.0
"DHA Phase 8, DHA Defence, Karachi",190000000,6,7,4500.0
"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi",32500000,3,3,2160.0
"DHA Phase 4, DHA Defence, Karachi",62500000,4,6,2700.0
"DHA Phase 8, DHA Defence, Karachi",165000000,6,0,4500.0
"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar, Karachi",14000000,3,3,1404.0
"Jamshed Road, Karachi, Karachi",45000000,4,4,2196.0
"Sharfabad, Gulshan-e-Iqbal Town, Karachi",25000000,0,0,1503.0
"Soldier Bazar, Jamshed Town, Karachi",35000000,4,4,1953.0
"Saadi Town, Scheme 33, Karachi",15500000,0,0,1080.0
"Bahria Town - Precinct 12, Bahria Town Karachi, Karachi",13000000,3,3,1125.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",16000000,3,4,1368.0
"Bahria Paradise, Bahria Town Karachi, Karachi",46500000,5,6,4500.0
"Bahria Sports City, Bahria Town Karachi, Karachi",23000000,4,4,3150.0
"Bahria Paradise, Bahria Town Karachi, Karachi",46500000,3,3,4500.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",38000000,5,6,2250.0
"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Karachi",18500000,3,3,1368.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",20000000,3,3,1800.0
"Bahria Town - Precinct 7, Bahria Town Karachi, Karachi",14000000,3,3,1296.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",30500000,4,4,2448.0
"Emaar Reef Towers, Emaar Crescent Bay, Karachi",57000000,2,4,1800.0
"Bahria Town Karachi, Karachi, Karachi",5900000,4,4,1125.0
"Bahria Town Karachi, Karachi, Karachi",39600000,7,7,9000.0
"Bahria Paradise - Precinct 51, Bahria Paradise, Karachi",39000000,5,5,4500.0
"Bahria Town - Precinct 9, Bahria Town Karachi, Karachi",50000000,5,5,4500.0
"Bahria Hills, Bahria Town Karachi, Karachi",85000000,5,5,4950.0
"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi",68500000,9,6,2160.0
"DHA Phase 6, DHA Defence, Karachi",200000000,8,8,9000.0
"Bahria Heights, Bahria Town Karachi, Karachi",6000000,2,3,1098.0
"Bahria Town - Precinct 8, Bahria Town Karachi, Karachi",32000000,5,6,2448.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",23500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",19000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",16500000,3,3,1368.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",19000000,3,3,1800.0
"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Karachi",15000000,3,3,1368.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"North Nazimabad - Block L, North Nazimabad, Karachi",65000000,6,6,2097.0
"Saadi Town - Block 7, Saadi Town, Karachi",23500000,4,5,1080.0
"Business & Professional Housing Society, Scheme 33 - Sector 51-A, Karachi",28000000,6,6,1800.0
"North Karachi, Karachi, Karachi",13000000,0,0,720.0
"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar, Karachi",35000000,6,6,1800.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",6200000,1,1,576.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",18500000,3,4,1125.0
"Civil Lines, Karachi, Karachi",65000000,4,4,2196.0
"Falcon Complex New Malir, Malir, Karachi",70000000,4,5,3150.0
"Falcon Complex New Malir, Malir, Karachi",87500000,5,5,4500.0
"Bahria Town - Precinct 7, Bahria Town Karachi, Karachi",95000000,8,9,9000.0
"Bahria Town - Precinct 18, Bahria Town Karachi, Karachi",3574000,3,3,405.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",15000000,4,5,1125.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",27000000,4,4,2952.0
"Bahria Apartments, Bahria Town Karachi, Karachi",18500000,3,3,2250.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",9000000,2,2,954.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",18000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"Bahria Sports City, Bahria Town Karachi, Karachi",19900000,4,4,3150.0
"DHA Phase 5, DHA Defence, Karachi",115000000,5,6,5130.0
"North Nazimabad - Block D, North Nazimabad, Karachi",58000000,6,7,1890.0
"Bahria Heights, Bahria Town Karachi, Karachi",11800000,2,2,1098.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",15200000,3,3,2115.0
"Federal B Area - Block 10, Federal B Area, Karachi",106000000,8,6,3600.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",19800000,3,3,2250.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",15000000,3,3,1125.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",15000000,3,3,1125.0
"Bahria Apartments, Bahria Town Karachi, Karachi",24500000,3,3,2547.0
"Bahria Town Karachi, Karachi, Karachi",7000000,4,4,540.0
"Bahria Town Karachi, Karachi, Karachi",2784000,2,2,315.0
"North Karachi - Sector 9, North Karachi, Karachi",35000000,4,5,1080.0
"North Karachi - Sector 11A, North Karachi, Karachi",42500000,7,6,2160.0
"De Comforts, Federal B Area - Block 8, Karachi",27000000,4,4,1080.0
"DHA Phase 8 - Zone A, DHA Phase 8, Karachi",210000000,5,6,4500.0
"DHA Phase 5, DHA Defence, Karachi",500000000,4,4,18000.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",20500000,3,3,1800.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",18000000,3,3,2115.0
"North Karachi - Sector 5-C/1, North Karachi - Sector 5-C, Karachi",12500000,4,4,720.0
"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Karachi",24000000,3,3,1800.0
"North Karachi - Sector 5-C/3, North Karachi - Sector 5-C, Karachi",8200000,2,2,720.0
"North Karachi - Sector 4, North Karachi, Karachi",7800000,2,2,720.0
"Gwalior Cooperative Housing Society, Scheme 33, Karachi",8000000,2,2,945.0
"Nishat Commercial Area, DHA Phase 6, Karachi",12000000,2,2,954.0
"Saima Arabian Villas, Gadap Town, Karachi",14900000,3,3,1440.0
"Falcon Complex New Malir, Malir, Karachi",74500000,4,4,3150.0
"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar, Karachi",9000000,2,2,1017.0
"Askari 5 - Sector J, Askari 5, Karachi",37500000,3,3,2700.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",35000000,5,6,2448.0
"Askari 5 - Sector J, Askari 5, Karachi",68000000,5,5,3375.0
"DHA Phase 8, DHA Defence, Karachi",395000000,6,0,9000.0
"DHA Phase 8, DHA Defence, Karachi",320000000,6,6,9000.0
"DHA Phase 6, DHA Defence, Karachi",100000000,0,0,4500.0
"Saima Arabian Villas, Gadap Town, Karachi",12000000,2,2,1080.0
"DHA Phase 7, DHA Defence, Karachi",75000000,6,6,4770.0
"Bahria Town - Precinct 4, Bahria Town Karachi, Karachi",3600000,1,1,477.0
"DHA Phase 6, DHA Defence, Karachi",140000000,6,6,4500.0
"North Karachi, Karachi, Karachi",5700000,5,2,1197.0
"Bahria Apartments, Bahria Town Karachi, Karachi",8200000,2,2,954.0
"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Karachi",17400000,3,3,1368.0
"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar, Karachi",35000000,3,3,3600.0
"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar, Karachi",8200000,3,3,954.0
"DHA Phase 1, DHA Defence, Karachi",35000000,3,3,2304.0
"Sehar Commercial Area, DHA Phase 7, Karachi",10000000,2,2,900.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",15000000,3,3,1125.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",19000000,3,3,1800.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",8000000,2,2,954.0
"Bahria Paradise, Bahria Town Karachi, Karachi",47000000,5,5,4698.0
"Bahria Sports City, Bahria Town Karachi, Karachi",22000000,4,4,3150.0
"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi",18200000,3,3,1800.0
"DHA Phase 6, DHA Defence, Karachi",98500000,5,6,5400.0
"DHA Phase 8 - Zone A, DHA Phase 8, Karachi",210000000,5,6,4500.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",9000000,2,2,954.0
"Malir Cantonment, Cantt, Karachi",9800000,2,2,918.0
"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal, Karachi",24000000,3,3,1602.0
"Askari 5 - Sector J, Askari 5, Karachi",69500000,5,5,3375.0
"Bahria Town - Precinct 12, Bahria Town Karachi, Karachi",16500000,3,0,1125.0
"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar, Karachi",25000000,3,3,2160.0
"Bahria Town Karachi, Karachi, Karachi",14800000,3,3,1125.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",14000000,3,4,2115.0
"Saima Presidency, Malir Cantonment, Karachi",20000000,3,3,2403.0
"Model Colony - Malir, Malir, Karachi",23000000,6,6,1305.0
"Model Colony - Malir, Malir, Karachi",21000000,4,4,990.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",9400000,2,2,954.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",14000000,3,3,1296.0
"Nazimabad 3 - Block D, Nazimabad 3, Karachi",7700000,2,3,1080.0
"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi",15600000,3,3,2115.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",17000000,3,3,2115.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",15600000,3,3,1125.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",17000000,3,3,1368.0
"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Karachi",15600000,3,3,1368.0
"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Karachi",19000000,3,3,1368.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",19000000,3,3,1800.0
"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Karachi",19000000,3,3,1800.0
"Bahria Town - Precinct 35, Bahria Sports City, Karachi",20000000,4,4,3150.0
"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi",9000000,2,2,954.0
"Askari 5 - Sector J, Askari 5, Karachi",68000000,5,6,3375.0
"Askari 5 - Sector J, Askari 5, Karachi",40000000,3,4,2601.0
"Askari 5 - Sector J, Askari 5, Karachi",40000000,3,4,2601.0
"Falcon Complex New Malir, Malir, Karachi",85000000,5,6,4500.0
"Navy Housing Scheme Karsaz, Karachi, Karachi",79000000,5,6,4203.0
"Navy Housing Scheme Karsaz, Karachi, Karachi",105000000,5,6,3150.0
"Falcon Complex New Malir, Malir, Karachi",72000000,5,6,3150.0
"Askari 5 - Sector J, Askari 5, Karachi",68000000,5,6,3375.0
"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Karachi",14500000,3,3,1368.0
"Askari 5 - Sector H, Askari 5, Karachi",81000000,5,5,3843.0
"Bahria Town - Precinct 35, Bahria Sports City, Karachi",22400000,4,4,3150.0
"Gohar Complex, Liaquat Avenue, Karachi",5600000,2,2,603.0
"Emaar Crescent Bay, DHA Phase 8, Karachi",70000000,5,5,3429.0
"Bukhari Commercial Area, DHA Phase 6, Karachi",32000000,4,4,1899.0
"Emaar Coral Towers, Emaar Crescent Bay, Karachi",130000000,3,4,4500.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",47500000,5,5,2160.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",48000000,5,5,2160.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",49000000,5,5,2160.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",50000000,5,5,2160.0
"Naya Nazimabad, Karachi, Karachi",50000000,5,5,2160.0
"Naya Nazimabad, Karachi, Karachi",49000000,5,5,2160.0
"Naya Nazimabad, Karachi, Karachi",48000000,5,5,2160.0
"Naya Nazimabad, Karachi, Karachi",47500000,5,5,2160.0
"Askari 5, Malir Cantonment, Karachi",36000000,3,4,2601.0
"Bahria Town Karachi, Karachi, Karachi",13000000,3,3,1125.0
"Bahria Apartments, Bahria Town Karachi, Karachi",9600000,2,2,981.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",15500000,4,4,1125.0
"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi",17000000,3,3,2115.0
"Bahria Town Karachi, Karachi, Karachi",6600000,2,2,819.0
"Falcon Complex New Malir, Malir, Karachi",79000000,5,5,4500.0
"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Karachi",27000000,4,6,1080.0
"Bahria Town - Ali Block, Bahria Town - Precinct 12, Karachi",14000000,0,0,1125.0
"Bahria Town - Jinnah Avenue, Bahria Town Karachi, Karachi",6200000,0,0,999.0
"Askari 5 - Sector J, Askari 5, Karachi",69000000,5,5,3375.0
"Bahria Town - Precinct 8, Bahria Town Karachi, Karachi",18500000,5,5,2250.0
"Emaar Coral Towers, Emaar Crescent Bay, Karachi",40000000,1,1,1197.0
"DHA Phase 8, DHA Defence, Karachi",65000000,3,5,3204.0
"Bahria Town - Precinct 1, Bahria Town Karachi, Karachi",36500000,5,5,2250.0
"Bahria Town - Precinct 30, Bahria Town Karachi, Karachi",24500000,5,5,2250.0
"Clifton - Block 5, Clifton, Karachi",70000000,4,4,2250.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",37500000,4,4,1440.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",37000000,4,4,1440.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",36000000,4,4,1440.0
"Naya Nazimabad - Block C, Naya Nazimabad, Karachi",35000000,4,4,1440.0
"Naya Nazimabad - Block D, Naya Nazimabad, Karachi",37500000,4,4,1440.0
"Naya Nazimabad - Block D, Naya Nazimabad, Karachi",37000000,4,4,1440.0
